title,viewCount,subscriberCount,hiddenSubscriberCount,videoCount
Mengizem Media ምንጊዜም ሚዲያ,3030557,27700,False,1068
Adebabay Media,12166946,93500,False,875
Abebe Belew,26082280,140000,False,980
ESATtv Ethiopia,194791022,637000,False,8552
Andafta,253762965,866000,False,5702
ዓባይ ዜና - Abbay News,15355078,324000,False,995
EMS (Ethiopian Media Services),34081555,207000,False,687
Ethio News - ኢትዮ ኒውስ,24361630,152000,False,1252
Ethio 360 Media,201589204,525000,False,3690
ETHIO 251 MEDIA ,9342912,87300,False,810
Reyot,37587608,177000,False,1955
Ashara Media - አሻራ ሚዲያ,1846962,28700,False,494
Feta Daily News,131556722,548000,False,821
